labeler_did,handle,display_name,labeler_class,maturity_class,active_recently,declares_scope,explains_labels,user_visible_consequence_known,has_stable_service_record,label_count_30d,label_count_7d,distinct_targets_30d,latest_label_def_count,service_record_revisions,first_record_at,last_record_at,last_seen,regime_state,endpoint_status,visibility_class,auditability,likely_test_dev,is_reference
did:plc:mdd2y3ul4lecjtlfxquo3sny,tzbsky.com,,third_party,unknown,True,False,False,False,False,115,25,16,0,0,,,2026-06-08T19:39:46.412176Z,bursty,accessible,declared,high,False,False
did:plc:hx65oouv7iwxm73nmh7tuhgq,unclouder.com,UnClouder,third_party,personal/reputational,True,True,True,True,True,97,34,97,8,1,2026-04-29T17:16:23.574395Z,2026-04-29T17:16:23.574395Z,2026-06-08T04:38:26.089506Z,bursty,accessible,declared,high,False,False
did:plc:qkty4ninplgtzeychgz4yyrh,labeler.bikesky.social,Bikesky Labeler,third_party,unknown,True,False,False,False,False,31,7,27,0,0,,,2026-06-08T13:20:03.935134Z,stable,accessible,declared,high,False,False
did:plc:iwgztlbtspo6bjy25qgcllqi,panslawek.pl,Polski Zespół Moderacji,third_party,unknown,True,False,False,False,False,30,15,11,0,0,,,2026-06-08T16:24:08.591085Z,bursty,accessible,declared,high,False,False
did:plc:ffv7lgt5rzmhnhzfum6ktzwm,sports-labeler.hooray.social,Sports Labeler,third_party,unknown,True,False,False,False,False,29,1,7,0,0,,,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:mkj5rmeswytaiaqdd4bmdnfy,perfect-skeeties.bsky.social,Perfect Skeeties Labeler,third_party,personal/reputational,True,True,True,True,True,29,0,12,31,2,2026-03-17T15:19:07.615200Z,2026-04-14T22:03:05.649556Z,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:7m7xz5ekdmw3tephpgn72ooz,moods.fran.pw,Moods,third_party,personal/reputational,True,True,True,True,True,28,7,16,140,3,2026-03-12T16:10:20.169117Z,2026-04-10T10:29:49.837068Z,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:3bslxjzm3z3i67r5iwht4y5v,label-iam.so-asano.com,"Label ""I AM""",third_party,personal/reputational,True,True,True,True,True,24,0,6,24,3,2026-04-02T10:22:27.351629Z,2026-04-02T10:54:07.049232Z,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
did:plc:lcdcygpdeiittdmdeddxwt4w,laelaps.fyi,Laelaps,third_party,personal/reputational,True,True,True,True,False,22,9,21,4,6,2026-05-19T19:32:01.164145Z,2026-05-19T19:44:50.051464Z,2026-06-08T21:59:57.981617Z,stable,accessible,declared,high,False,False
did:plc:indwvpzxq36ay7cafeymjm4p,holofanbase.zomrade.live,Hololive Fanbase Labels,third_party,unknown,True,False,False,False,False,21,15,3,0,0,,,2026-06-08T04:38:26.089506Z,bursty,accessible,declared,high,False,False
did:plc:yfklixyvt4y3irrkdb4mtvqn,meowderation.tngl.sh,miauderation,third_party,personal/reputational,True,True,True,True,True,18,9,14,20,4,2026-03-18T00:55:43.144594Z,2026-03-31T20:16:33.725934Z,2026-06-08T21:48:09.384480Z,stable,accessible,declared,high,False,False
did:plc:gqtagsooi75obldmytuow57q,moderation.stream.place,,third_party,unknown,True,False,False,False,False,17,0,7,0,0,,,2026-06-08T04:38:26.089506Z,stable,accessible,declared,high,False,False
