labeler_did,handle,display_name,labeler_class,maturity_class,active_recently,declares_scope,explains_labels,user_visible_consequence_known,has_stable_service_record,label_count_30d,label_count_7d,distinct_targets_30d,latest_label_def_count,service_record_revisions,first_record_at,last_record_at,last_seen,regime_state,endpoint_status,visibility_class,auditability,likely_test_dev,is_reference
did:plc:pxxznu4cm556vbi44bg5jsu4,trezy-test-labeler.bsky.social,,third_party,experimental,False,True,True,False,True,0,0,0,1,4,2026-03-19T04:06:50.889692Z,2026-03-24T17:27:18.726582Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,True,False
did:plc:5rqfefkxv5a3akkrmbqcb55g,moderation.blueat.net,BlueAT Moderation,third_party,abandoned,False,True,True,True,False,0,0,0,20,99,2026-03-19T15:21:07.942657Z,2026-05-07T02:31:14.478106Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:26ixxknmprzf62ijehlcevy3,demonslayerfeeds.bsky.social,Demon Slayer Feeds | 鬼滅の刃フィード,third_party,abandoned,False,True,True,True,True,0,0,0,46,2,2026-03-23T23:51:57.115720Z,2026-03-23T23:58:43.127720Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:tlbtb7crxvviwx54sdcat25a,dymo.blue,Dymo,third_party,abandoned,False,True,True,True,True,0,0,0,9,5,2026-03-24T23:46:43.506454Z,2026-03-28T21:52:15.806338Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:7qiuwmtsfrymzazhy3l3kasu,testdymo.bsky.social,Dymo,third_party,abandoned,False,True,True,True,True,0,0,0,18,5,2026-03-25T00:06:53.013230Z,2026-03-25T00:57:14.008675Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:45scnhbnhc6zm4vn4br4q3wp,moderation.tokimeki.social,TOKIMEKI Moderation Service,third_party,abandoned,False,True,True,True,True,0,0,0,1,2,2026-03-25T10:11:40.886743Z,2026-03-25T10:24:16.671044Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:qz2b34dblilq3z6f2xgjgzwe,thcommu-labeler.bsky.social,,third_party,abandoned,False,True,True,True,False,0,0,0,4,8,2026-03-25T10:48:28.535911Z,2026-03-25T16:54:07.405811Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:xmj7cqtpfuuek4vp6pa2yqpq,labeler.frotting.party,labeler.frotting.party,third_party,abandoned,False,True,True,True,False,0,0,0,3,9,2026-03-25T22:16:09.605153Z,2026-03-27T22:18:11.362813Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:hk3zr7blf6dlkxzmdecw2kf2,hsd.lilacparty.us,,third_party,abandoned,False,True,True,True,True,0,0,0,75,4,2026-03-26T21:08:19.898702Z,2026-03-27T18:40:41.406369Z,2026-06-08T04:38:26.089506Z,inactive,down,declared,medium,False,False
did:plc:m6h36r2hzbnozuhxj4obhkyb,skeeditor.link,Skeeditor,third_party,abandoned,False,True,True,True,True,0,0,0,1,3,2026-03-28T01:26:53.298779Z,2026-03-28T01:28:01.508611Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:s53yivkg4tosixsn2ovbqc7c,test.wolfarmoon.dev,wolfarnom test account,third_party,experimental,False,True,True,False,True,0,0,0,1,4,2026-04-01T01:22:59.793460Z,2026-04-01T01:40:12.220082Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,True,False
did:plc:ql7n7gctfts2a32xp245fak7,seermoderation.com,Seer,third_party,abandoned,False,True,True,True,True,0,0,0,2,3,2026-04-01T12:51:06.242912Z,2026-04-01T13:08:51.350896Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:yvjl73yhbdmzzn27cc2kyvy3,aidran.ai,AIDRAN,third_party,abandoned,False,True,True,True,False,0,0,0,24,16,2026-04-04T05:40:54.730216Z,2026-04-14T06:02:05.442108Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:cjmftryiihdz5jafq77n6b2u,atbuddy.app,,third_party,abandoned,False,True,True,False,True,0,0,0,6,5,2026-04-04T07:10:48.271225Z,2026-04-04T15:08:44.288193Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:2hqbcy365topzgoci3oemywp,alttextchamps.bsky.social,Alt Text Champions Labeler,third_party,abandoned,False,True,True,True,True,0,0,0,5,3,2026-04-09T01:32:37.612014Z,2026-04-09T22:53:00.904670Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:sboy7tg4wrkonuxp4n7eknxs,provyn-labeler.bsky.social,,third_party,abandoned,False,True,True,False,True,0,0,0,1,1,2026-04-10T01:59:49.738040Z,2026-04-10T01:59:49.738040Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:ex3p6sdow4bnhp3wz76xcc6i,schwentker.sandboxlabs.ai,Schwentker,third_party,abandoned,False,True,True,True,True,0,0,0,5,4,2026-04-15T16:54:12.339408Z,2026-04-15T16:54:34.134106Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:az5j4vuian7gx22o4zd4cvph,repo-auditor.atproto.ceo,Repo Inspector,third_party,abandoned,False,True,True,True,True,0,0,0,1,2,2026-04-17T20:29:26.484281Z,2026-04-17T20:30:24.371689Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:bhuepdok66ddc4rgetch6mgq,randomaccfornothin.bsky.social,Mizook HQ,third_party,abandoned,False,True,True,True,True,0,0,0,1,1,2026-04-22T19:22:43.978008Z,2026-04-22T19:22:43.978008Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:cciz3i6f5mkjdnpb3wewr7az,skydeval.nearhorizon.app,,third_party,abandoned,False,True,True,True,True,0,0,0,1,2,2026-04-24T15:27:41.496370Z,2026-04-24T16:07:41.585570Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:3gghjh7wuif2v3ykx5ttmm6c,stemlabels.xyz,STEM Moderation & Labeler,third_party,abandoned,False,True,True,True,False,0,0,0,460,8,2026-04-25T08:22:06.542755Z,2026-04-27T23:33:41.879914Z,2026-06-08T04:38:26.089506Z,inactive,unknown,declared,medium,False,False
did:plc:kpmboizkolwoxhkarz7uls6h,modtest22.bsky.social,,third_party,abandoned,False,True,True,True,False,0,0,0,1,6,2026-04-26T14:55:59.068848Z,2026-04-30T02:15:54.746623Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:cm23tia7ualidugdh635lugh,labeltest20260430.bsky.social,,third_party,abandoned,False,True,True,True,True,0,0,0,1,2,2026-04-30T12:38:09.118183Z,2026-04-30T13:10:17.117459Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:grb3ucexoxbflrkcu6qbg4j2,lexicons.harvester.blue,Lexicon Verifier,third_party,abandoned,False,True,True,True,True,0,0,0,2,2,2026-05-05T03:04:04.750812Z,2026-05-05T13:28:15.608530Z,2026-06-08T04:38:26.089506Z,warming_up,accessible,declared,high,False,False
did:plc:xukcocedc7p2hem733mu4vqh,polarislabeler.bsky.social,,third_party,abandoned,False,True,True,True,True,0,0,0,3,3,2026-05-16T01:39:06.339797Z,2026-05-17T07:41:51.518651Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:facdlv7zfy25ymmmutxd3ojq,labeler-bot-tan.suibari.com,Zenkoutei Bot-tan Labeler,third_party,abandoned,False,True,True,True,False,0,0,0,18,866,2026-05-21T13:05:47.635458Z,2026-06-08T23:16:36.621052Z,2026-06-08T23:16:36.621052Z,warming_up,unknown,declared,medium,False,False
did:plc:qcwhrvzx6wmi5hz775uyi6fh,bot-tan.suibari.com,,third_party,abandoned,False,True,True,True,True,0,0,0,2,2,2026-05-21T23:41:19.149286Z,2026-06-08T15:05:27.848350Z,2026-06-08T15:05:27.848350Z,warming_up,unknown,declared,medium,False,False
did:plc:sfmur4r4wzriaupbgmz7sshy,joshuashew.bsky.social,Joshua Shew,third_party,abandoned,False,True,True,True,True,0,0,0,1,2,2026-05-24T00:06:51.118213Z,2026-05-25T01:48:07.515591Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:sr7hpjhseg2zqomswzw4tmin,creatorlabeler.blackwall.gg,Creator Labeler,third_party,abandoned,False,True,True,True,True,0,0,0,10,1,2026-05-24T23:42:11.812344Z,2026-05-24T23:42:11.812344Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:4pe75mut3igezxkprcmxqxrm,whodoyousupport.bsky.social,,third_party,abandoned,False,True,True,True,True,0,0,0,1,1,2026-05-26T15:18:28.988745Z,2026-05-26T15:18:28.988745Z,2026-06-08T04:38:26.089506Z,warming_up,auth_required,declared,medium,False,False
did:plc:eprr6yw55jdfzlm3mw3s5z2y,mzk.pds.mizook.xyz,Mizook HQ,third_party,abandoned,False,True,True,True,True,0,0,0,1,1,2026-05-28T07:15:39.938990Z,2026-05-28T07:15:39.938990Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:kj2uuaftf4zg4bdtvcfkatrl,taina-labeler.climateai.org,,third_party,abandoned,False,True,True,True,True,0,0,0,1,1,2026-05-28T17:50:33.814147Z,2026-05-28T17:50:33.814147Z,2026-06-08T04:38:26.089506Z,warming_up,unknown,declared,medium,False,False
did:plc:flt5rybwfb6puqatk6necbkp,crossnote.bsky.social,,third_party,abandoned,False,True,True,True,True,0,0,0,1,1,2026-05-29T23:50:18.057178Z,2026-05-29T23:50:18.057178Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:j5b2pfbj4dgvnrt34loaavfu,labtest212.bsky.social,,third_party,abandoned,False,True,True,False,True,0,0,0,1,1,2026-06-03T17:07:01.454784Z,2026-06-03T17:07:01.454784Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
did:plc:jeoxp4ncttnwxgmcwrz33dwp,platnerposlabeler.bsky.social,,third_party,abandoned,False,True,True,True,True,0,0,0,1,1,2026-06-06T21:43:43.934965Z,2026-06-06T21:43:43.934965Z,2026-06-08T04:38:26.089506Z,warming_up,down,declared,medium,False,False
